DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1968-0124-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1968,8,,1968,8,,1000,,,,,,,,,,,11.41553662,,01-07-2003,25-09-2023
1968-0127-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1968,10,,1968,10,,560,,,,,,,,,,,11.41553662,,01-07-2003,25-09-2023
1969-0071-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Guntur, Krishna, Godavari (Andhra Pradesh)",,,No,No,No,,,Kph,,,,1969,5,17,1969,5,17,600,,260000,,260000,,,,,8330,69191,12.03909708,,01-07-2003,25-09-2023
1969-0081-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Kannaman,,,No,No,No,,,Kph,,,,1969,7,22,1969,7,22,15,,92,,92,,,,,,,12.03909708,,01-07-2003,25-09-2023
1969-0106-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Madras City,,,No,No,No,,,Kph,,,,1969,10,21,1969,10,21,,,20000,,20000,,,,,,,12.03909708,,01-07-2003,25-09-2023
1969-0109-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,No,No,No,,,Kph,,,,1969,11,4,1969,11,4,200,,,,,,,,,,,12.03909708,,01-07-2003,25-09-2023
1970-0034-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"North-East, Western, North",,,Yes,No,No,,,Km2,,,,1970,7,,1970,7,,627,1000,10000000,350000,10351000,,,,,101200,794226,12.74196873,,01-07-2003,25-09-2023
1970-0065-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Madras city (Tamil Nadu),,,No,No,No,,,Kph,,,,1970,11,19,1970,11,19,,,,2000,2000,,,,,,,12.74196873,,01-07-2003,25-09-2023
1970-0105-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Gujarat, Orissa states",,,No,No,No,,,Km2,,,,1970,9,2,1970,9,2,400,,,,,,,,,,,12.74196873,,01-07-2003,25-09-2023
1970-0112-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Broach,,,No,No,No,,5.4,Moment Magnitude,21.7,73,,1970,3,23,1970,3,23,26,200,,,200,,,,,,,12.74196873,,05-04-2004,25-09-2023
1971-0037-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,North,,,No,No,No,,,Km2,,,,1971,6,,1971,6,,1023,,,,,,,,,530000,3988274,13.2889561,,01-07-2003,25-09-2023
1971-0052-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh,,,No,No,No,,,Km2,,,,1971,9,9,1971,9,9,300,,35000,,35000,,,,,,,13.2889561,,01-07-2003,25-09-2023
1971-0058-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"East coast, Orissa state",,,Yes,No,No,,,Kph,,,,1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,,,,,30000,225751,13.2889561,,01-07-2003,25-09-2023
1971-0112-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Bihar, West Bengal",,,No,No,No,,,Kph,,,,1971,9,27,1971,9,27,60,,,,,,,,,,,13.2889561,,01-07-2003,25-09-2023
1971-0116-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,,No,No,No,,2600,Km2,,,,1971,6,,1971,6,,,,130000,,130000,,,,,,,13.2889561,,01-07-2003,25-09-2023
1972-0051-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Andhra Pradesh, Orissa",,,No,No,No,,,Kph,,,,1972,9,10,1972,9,10,100,,4500000,,4500000,,,,,,,13.72380635,,01-07-2003,25-09-2023
1972-0058-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Srinagar, Kashmir",,,No,No,No,,,Kph,,,,1972,10,21,1972,10,21,50,,75,,75,,,,,,,13.72380635,,01-07-2003,25-09-2023
1972-0063-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Madras City,,,No,No,No,,,Kph,,,,1972,12,1,1972,12,1,80,,30000,,30000,,,,,,,13.72380635,,01-07-2003,25-09-2023
1972-9116-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Central,,,Yes,No,No,,,Km2,,,,1972,,,1973,,,,,200000000,,200000000,,,,,100000,728661,13.72380635,,24-11-2006,25-09-2023
1973-0009-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Bihar",,,No,No,No,,,°C,,,,1973,1,5,1973,1,5,115,,,,,,,,,,,14.57162548,,01-07-2003,25-09-2023
1973-0054-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Bihar, Delhi",,,No,No,No,,,°C,,,,1973,12,23,1973,12,23,146,,,,,,,,,,,14.57162548,,01-07-2003,25-09-2023
1974-0045-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"West Bengal, Madya Pradesh, Gujarat states",,,No,No,No,,,Kph,,,,1974,8,15,1974,8,15,20,100,,,100,,,,,,,16.18249195,,01-07-2003,25-09-2023
1974-0122-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Midnapore,,,No,No,No,,20,Kph,,,,1974,5,29,1974,5,29,,,25000,,25000,,,,,,,16.18249195,,01-07-2003,25-09-2023
